timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702032401711,1192,https://lms.simplilearn.com/,200,OK,Thread Group 1-1,text,true,,892,499,1,1,https://lms.simplilearn.com/,1190,0,931
1702032402908,798,https://lms.simplilearn.com/,200,OK,Thread Group 1-1,text,true,,809,545,1,1,https://lms.simplilearn.com/,798,0,0
1702032405239,1951,https://accounts.simplilearn.com/user/login?redirect_url=https%3A%2F%2Flms.simplilearn.com%2F,200,OK,Thread Group 1-1,text,false,Tidy Parser errors: 4 (allowed 10) Tidy Parser warnings: 228 (allowed 10),67287,610,1,1,https://accounts.simplilearn.com/user/login?redirect_url=https%3A%2F%2Flms.simplilearn.com%2F,1685,0,755
1702032407231,177,https://311c5642.webengage.co/storage-frame-1.18.htm?cdn=y&cbf=webengage-engagement-callback-frame&lc=311c5642,200,OK,Thread Group 1-1,text,true,,3988,581,1,1,https://311c5642.webengage.co/storage-frame-1.18.htm?cbf=webengage-engagement-callback-frame&lc=311c5642&cdn=y,177,0,126
1702032407428,204,https://accounts.google.com/o/oauth2/iframe#origin=https%3A%2F%2Faccounts.simplilearn.com&rpcToken=277619146.06907535&clearCache=1,200,OK,Thread Group 1-1,text,true,,1865,710,1,1,https://accounts.google.com/o/oauth2/iframe#origin=https%3A%2F%2Faccounts.simplilearn.com&rpcToken=277619146.06907535&clearCache=1,204,0,140
1702032407635,1112,https://service.force.com/embeddedservice/5.0/esw.html?parent=https://accounts.simplilearn.com/user/login?redirect_url=https%3A%2F%2Flms.simplilearn.com%2F,200,OK,Thread Group 1-1,text,true,,1403,640,1,1,https://service.force.com/embeddedservice/5.0/esw.html?parent=https%3A%2F%2Faccounts.simplilearn.com%2Fuser%2Flogin%3Fredirect_url%3Dhttps%3A%2F%2Flms.simplilearn.com%2F,1112,0,824
1702032408750,1227,https://cdn.useproof.com/proxy/index.html,200,OK,Thread Group 1-1,text,true,,1230,512,1,1,https://cdn.useproof.com/proxy/index.html,1227,0,148
1702032413249,414,https://www.simplilearn.com/project-management/cbap-preparatory-course-training,200,OK,Thread Group 1-1,text,false,"Tidy Parser errors: 151 (allowed 10) Tidy Parser warnings: 1,122 (allowed 10)",416570,596,1,1,https://www.simplilearn.com/project-management/cbap-preparatory-course-training,207,0,149
1702032413771,59,https://311c5642.webengage.co/storage-frame-1.18.htm?cdn=y&cbf=webengage-engagement-callback-frame&lc=311c5642,304,Not Modified,Thread Group 1-1,,false,Response was null,505,662,1,1,https://311c5642.webengage.co/storage-frame-1.18.htm?cbf=webengage-engagement-callback-frame&lc=311c5642&cdn=y,0,0,0
1702032413837,286,https://td.doubleclick.net/td/rul/1003447763?random=1702027440474&cv=11&fst=1702027440474&fmt=3&bg=ffffff&guid=ON&async=1&gtm=45He3bt0v6481802&gcd=11t1t1l1l5&dma=0&u_w=1366&u_h=768&url=https%3A%2F%2Fwww.simplilearn.com%2Fproject-management%2Fcbap-preparatory-course-training&ref=https%3A%2F%2Fwww.simplilearn.com%2Fproject-management%2Fpmp-certification-training&label=dhlmCOWU7gMQ08u93gM&hn=www.googleadservices.com&frm=0&tiba=CBAP%20Certification%20%7C%20CBAP%20Training%20%7C%20Best%20CBAP%20Course%20Online&auid=163428266.1702027115&fledge=1&uaa=x86&uab=64&uafvl=Not_A%2520Brand%3B8.0.0.0%7CChromium%3B120.0.6099.63%7CGoogle%2520Chrome%3B120.0.6099.63&uamb=0&uap=Windows&uapv=10.0.0&uaw=0,200,OK,Thread Group 1-1,text,true,,789,1145,1,1,https://td.doubleclick.net/td/rul/1003447763?tiba=CBAP+Certification+%7C+CBAP+Training+%7C+Best+CBAP+Course+Online&bg=ffffff&fst=1702027440474&hn=www.googleadservices.com&gcd=11t1t1l1l5&fmt=3&uafvl=Not_A%2520Brand%3B8.0.0.0%7CChromium%3B120.0.6099.63%7CGoogle%2520Chrome%3B120.0.6099.63&random=1702027440474&ref=https%3A%2F%2Fwww.simplilearn.com%2Fproject-management%2Fpmp-certification-training&uaa=x86&uab=64&uamb=0&u_h=768&frm=0&gtm=45He3bt0v6481802&auid=163428266.1702027115&uapv=10.0.0&uap=Windows&uaw=0&label=dhlmCOWU7gMQ08u93gM&u_w=1366&fledge=1&url=https%3A%2F%2Fwww.simplilearn.com%2Fproject-management%2Fcbap-preparatory-course-training&async=1&cv=11&guid=ON&dma=0,286,0,231
1702032414125,91,https://td.doubleclick.net/td/rul/960912318?random=1702027440491&cv=11&fst=1702027440491&fmt=3&bg=ffffff&guid=ON&async=1&gtm=45He3bt0v6481802&gcd=11t1t1l1l5&dma=0&u_w=1366&u_h=768&url=https%3A%2F%2Fwww.simplilearn.com%2Fproject-management%2Fcbap-preparatory-course-training&ref=https%3A%2F%2Fwww.simplilearn.com%2Fproject-management%2Fpmp-certification-training&hn=www.googleadservices.com&frm=0&tiba=CBAP%20Certification%20%7C%20CBAP%20Training%20%7C%20Best%20CBAP%20Course%20Online&auid=163428266.1702027115&fledge=1&uaa=x86&uab=64&uafvl=Not_A%2520Brand%3B8.0.0.0%7CChromium%3B120.0.6099.63%7CGoogle%2520Chrome%3B120.0.6099.63&uamb=0&uap=Windows&uapv=10.0.0&uaw=0,200,OK,Thread Group 1-1,text,true,,958,1158,1,1,https://td.doubleclick.net/td/rul/960912318?tiba=CBAP+Certification+%7C+CBAP+Training+%7C+Best+CBAP+Course+Online&bg=ffffff&fst=1702027440491&hn=www.googleadservices.com&gcd=11t1t1l1l5&fmt=3&uafvl=Not_A%2520Brand%3B8.0.0.0%7CChromium%3B120.0.6099.63%7CGoogle%2520Chrome%3B120.0.6099.63&random=1702027440491&ref=https%3A%2F%2Fwww.simplilearn.com%2Fproject-management%2Fpmp-certification-training&uaa=x86&uab=64&uamb=0&u_h=768&frm=0&gtm=45He3bt0v6481802&auid=163428266.1702027115&uapv=10.0.0&uap=Windows&uaw=0&u_w=1366&fledge=1&url=https%3A%2F%2Fwww.simplilearn.com%2Fproject-management%2Fcbap-preparatory-course-training&async=1&cv=11&guid=ON&dma=0,91,0,0
